SSL_CK_RC4_128_WITH_MD5,0x01
SSL_CK_RC4_128_EXPORT40_WITH_MD5,0x02
SSL_CK_RC2_128_CBC_WITH_MD5,0x03
SSL_CK_RC2_128_CBC_EXPORT40_WITH_MD5,0x04
SSL_CK_IDEA_128_CBC_WITH_MD5,0x05
SSL_CK_DES_64_CBC_WITH_MD5,0x06
SSL_CK_DES_192_EDE3_CBC_WITH_MD5,0x07
SSL_EN_RC4_128_WITH_MD5,0xFF01
SSL_EN_RC4_128_EXPORT40_WITH_MD5,0xFF02
SSL_EN_RC2_128_CBC_WITH_MD5,0xFF03
SSL_EN_RC2_128_CBC_EXPORT40_WITH_MD5,0xFF04
SSL_EN_IDEA_128_CBC_WITH_MD5,0xFF05
SSL_EN_DES_64_CBC_WITH_MD5,0xFF06
SSL_EN_DES_192_EDE3_CBC_WITH_MD5,0xFF07
SSL_NULL_WITH_NULL_NULL,0x0000
SSL_RSA_WITH_NULL_MD5,0x0001
SSL_RSA_WITH_NULL_SHA,0x0002
SSL_RSA_EXPORT_WITH_RC4_40_MD5,0x0003
SSL_RSA_WITH_RC4_128_MD5,0x0004
SSL_RSA_WITH_RC4_128_SHA,0x0005
SSL_RSA_EXPORT_WITH_RC2_CBC_40_MD5,0x0006
SSL_RSA_WITH_IDEA_CBC_SHA,0x0007
SSL_RSA_EXPORT_WITH_DES40_CBC_SHA,0x0008
SSL_RSA_WITH_DES_CBC_SHA,0x0009
SSL_RSA_WITH_3DES_EDE_CBC_SHA,0x000a
SSL_DH_DSS_EXPORT_WITH_DES40_CBC_SHA,0x000b
SSL_DH_DSS_WITH_DES_CBC_SHA,0x000c
SSL_DH_DSS_WITH_3DES_EDE_CBC_SHA,0x000d
SSL_DH_RSA_EXPORT_WITH_DES40_CBC_SHA,0x000e
SSL_DH_RSA_WITH_DES_CBC_SHA,0x000f
SSL_DH_RSA_WITH_3DES_EDE_CBC_SHA,0x0010
SSL_DHE_DSS_EXPORT_WITH_DES40_CBC_SHA,0x0011
SSL_DHE_DSS_WITH_DES_CBC_SHA,0x0012
SSL_DHE_DSS_WITH_3DES_EDE_CBC_SHA,0x0013
SSL_DHE_RSA_EXPORT_WITH_DES40_CBC_SHA,0x0014
SSL_DHE_RSA_WITH_DES_CBC_SHA,0x0015
SSL_DHE_RSA_WITH_3DES_EDE_CBC_SHA,0x0016
SSL_DH_ANON_EXPORT_WITH_RC4_40_MD5,0x0017
SSL_DH_ANON_WITH_RC4_128_MD5,0x0018
SSL_DH_ANON_EXPORT_WITH_DES40_CBC_SHA,0x0019
SSL_DH_ANON_WITH_DES_CBC_SHA,0x001a
SSL_DH_ANON_WITH_3DES_EDE_CBC_SHA,0x001b
SSL_FORTEZZA_DMS_WITH_NULL_SHA,0x001c
SSL_FORTEZZA_DMS_WITH_FORTEZZA_CBC_SHA,0x001d
SSL_FORTEZZA_DMS_WITH_RC4_128_SHA,0x001e
TLS_RSA_WITH_AES_128_CBC_SHA,0x002F
TLS_DH_DSS_WITH_AES_128_CBC_SHA,0x0030
TLS_DH_RSA_WITH_AES_128_CBC_SHA,0x0031
TLS_DHE_DSS_WITH_AES_128_CBC_SHA,0x0032
TLS_DHE_RSA_WITH_AES_128_CBC_SHA,0x0033
TLS_DH_ANON_WITH_AES_128_CBC_SHA,0x0034
TLS_RSA_WITH_AES_256_CBC_SHA,0x0035
TLS_DH_DSS_WITH_AES_256_CBC_SHA,0x0036
TLS_DH_RSA_WITH_AES_256_CBC_SHA,0x0037
TLS_DHE_DSS_WITH_AES_256_CBC_SHA,0x0038
TLS_DHE_RSA_WITH_AES_256_CBC_SHA,0x0039
TLS_DH_ANON_WITH_AES_256_CBC_SHA,0x003A
TLS_RSA_WITH_NULL_SHA256,0x003B
TLS_RSA_WITH_AES_128_CBC_SHA256,0x003C
TLS_RSA_WITH_AES_256_CBC_SHA256,0x003D
TLS_RSA_WITH_CAMELLIA_128_CBC_SHA,0x0041
TLS_DH_DSS_WITH_CAMELLIA_128_CBC_SHA,0x0042
TLS_DH_RSA_WITH_CAMELLIA_128_CBC_SHA,0x0043
TLS_DHE_DSS_WITH_CAMELLIA_128_CBC_SHA,0x0044
TLS_DHE_RSA_WITH_CAMELLIA_128_CBC_SHA,0x0045
TLS_DH_ANON_WITH_CAMELLIA_128_CBC_SHA,0x0046
TLS_RSA_EXPORT1024_WITH_DES_CBC_SHA,0x0062
TLS_RSA_EXPORT1024_WITH_RC4_56_SHA,0x0064
TLS_DHE_DSS_EXPORT1024_WITH_DES_CBC_SHA,0x0063
TLS_DHE_DSS_EXPORT1024_WITH_RC4_56_SHA,0x0065
TLS_DHE_DSS_WITH_RC4_128_SHA,0x0066
TLS_DHE_RSA_WITH_AES_128_CBC_SHA256,0x0067
TLS_DHE_RSA_WITH_AES_256_CBC_SHA256,0x006B
TLS_RSA_WITH_CAMELLIA_256_CBC_SHA,0x0084
TLS_DH_DSS_WITH_CAMELLIA_256_CBC_SHA,0x0085
TLS_DH_RSA_WITH_CAMELLIA_256_CBC_SHA,0x0086
TLS_DHE_DSS_WITH_CAMELLIA_256_CBC_SHA,0x0087
TLS_DHE_RSA_WITH_CAMELLIA_256_CBC_SHA,0x0088
TLS_DH_ANON_WITH_CAMELLIA_256_CBC_SHA,0x0089
TLS_RSA_WITH_SEED_CBC_SHA,0x0096
TLS_RSA_WITH_AES_128_GCM_SHA256,0x009C
TLS_DHE_RSA_WITH_AES_128_GCM_SHA256,0x009E
TLS_DHE_DSS_WITH_AES_128_GCM_SHA256,0x00A2
TLS_EMPTY_RENEGOTIATION_INFO_SCSV,0x00FF
TLS_ECDH_ECDSA_WITH_NULL_SHA,0xC001
TLS_ECDH_ECDSA_WITH_RC4_128_SHA,0xC002
TLS_ECDH_ECDSA_WITH_3DES_EDE_CBC_SHA,0xC003
TLS_ECDH_ECDSA_WITH_AES_128_CBC_SHA,0xC004
TLS_ECDH_ECDSA_WITH_AES_256_CBC_SHA,0xC005
TLS_ECDHE_ECDSA_WITH_NULL_SHA,0xC006
TLS_ECDHE_ECDSA_WITH_RC4_128_SHA,0xC007
TLS_ECDHE_ECDSA_WITH_3DES_EDE_CBC_SHA,0xC008
TLS_ECDHE_ECDSA_WITH_AES_128_CBC_SHA,0xC009
TLS_ECDHE_ECDSA_WITH_AES_256_CBC_SHA,0xC00A
TLS_ECDH_RSA_WITH_NULL_SHA,0xC00B
TLS_ECDH_RSA_WITH_RC4_128_SHA,0xC00C
TLS_ECDH_RSA_WITH_3DES_EDE_CBC_SHA,0xC00D
TLS_ECDH_RSA_WITH_AES_128_CBC_SHA,0xC00E
TLS_ECDH_RSA_WITH_AES_256_CBC_SHA,0xC00F
TLS_ECDHE_RSA_WITH_NULL_SHA,0xC010
TLS_ECDHE_RSA_WITH_RC4_128_SHA,0xC011
TLS_ECDHE_RSA_WITH_3DES_EDE_CBC_SHA,0xC012
TLS_ECDHE_RSA_WITH_AES_128_CBC_SHA,0xC013
TLS_ECDHE_RSA_WITH_AES_256_CBC_SHA,0xC014
TLS_ECDH_anon_WITH_NULL_SHA,0xC015
TLS_ECDH_anon_WITH_RC4_128_SHA,0xC016
TLS_ECDH_anon_WITH_3DES_EDE_CBC_SHA,0xC017
TLS_ECDH_anon_WITH_AES_128_CBC_SHA,0xC018
TLS_ECDH_anon_WITH_AES_256_CBC_SHA,0xC019
TLS_ECDHE_ECDSA_WITH_AES_128_CBC_SHA256,0xC023
TLS_ECDHE_RSA_WITH_AES_128_CBC_SHA256,0xC027
TLS_ECDHE_ECDSA_WITH_AES_128_GCM_SHA256,0xC02B
TLS_ECDH_ECDSA_WITH_AES_128_GCM_SHA256,0xC02D
TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,0xC02F
TLS_ECDH_RSA_WITH_AES_128_GCM_SHA256,0xC031
SSL_RSA_OLDFIPS_WITH_3DES_EDE_CBC_SHA,0xffe0
SSL_RSA_OLDFIPS_WITH_DES_CBC_SHA,0xffe1
SSL_RSA_FIPS_WITH_3DES_EDE_CBC_SHA,0xfeff
SSL_RSA_FIPS_WITH_DES_CBC_SHA,0xfefe
